,,,,,64,168,20,21,22,504,835,786,787,5,271,8,506,509,510,513,581,582,583,369,445,225,163,164,165,
ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION PJSC,27,ARE,2021,AED,11929,5524.37,0.02,0.13,,0.15,0,21.03,78.97,362.53,0.07,1633.02,0.3,135,0.02,12455,8.53,91.47,,8.97,14.29,0.14,,,,1504.047528
AC Energy Corp,27,PHL,2021,PHP,702,453.79,2.13,0.01,,2.14,0,99.75,0.25,6496.62,14.32,180.98,0.4,1228.79,2.71,702,26.64,73.36,,15.67,45,22.7,,22.04,,7.920268446
ACC Ltd,106,IND,2021,INR,6401,1688.37,12.38,0.55,1.52,14.46,0.01,96,4,24871.43,14.73,3630,2.15,104.01,0.06,6401,3.81,96.19,,8.87,8.33,323.3,,98750,,20.67372348
ACI Worldwide Inc,149,USA,2021,USD,3610,1290,,,,0,0,,,,,,,,,3610,35,65,,13,36,,,,,1290
ACS Actividades de Construccion y Servicios SA,106,ESP,2021,EUR,122502,28565.63,0.32,0.1,2.64,3.06,0,95.68,4.32,1609.5,0.06,5860.27,0.21,400895,14.03,122502,58,42,,14.7,20,,,1373.69,,29316.90964
ADEKA Corp,106,JPN,2021,JPY,5378,2313.46,0.06,0.08,0.56,0.7,0,27.2,72.8,1140,0.49,2451,1.06,86108,37.22,7190,15.4,84.6,,2.1,5.88,,,,,16.36769891
ADP Promesses,156,FRA,2021,EUR,22269,2849.69,0.08,0.02,0.96,1.06,0,49.22,50.78,995.85,0.35,,,337,0.12,22269,38.1,61.9,,,50,,,973,,2924.634769
AECOM,95,USA,2021,USD,50000,13338.9,,,2.55,2.64,0,,,,,,,,,50000,32.5,67.5,,,36,,,,,13338.9
AEON REIT Investment Corp,156,JPN,2022,JPY,570000,597.11,,,,0.24,0,0.37,99.63,438.01,0.73,,,,,570000,25,75,,8,11,,,,,4.224568159
AES Andes S.A.,106,CHL,2021,USD,1141,2771.09,13.6,0.03,1.37,15,0,36.5,63.5,1347.95,0.49,14533.75,5.24,1848,0.67,1141,16.39,83.61,,2.37,9.09,,,2026,,2771.09
Hyundai Elevator Co,27,KOR,2021,KRW,2732,110104.45,0,0.01,0,0.01,0,71.61,28.39,39.75,0,22000,0.2,,,2732,7.03,92.97,,5.6,5.83,,,,,81.23271448
Hyundai Eng & Const Co,27,KOR,2021,KRW,6158,12521.22,0.17,0.14,0.44,0.75,0,99.96,0.04,1129.89,0.09,1278,0.1,3,0,6234,11.02,88.98,,5.85,14.29,,13800,,,9.237887644
Hyundai Fire & Marine Ins,106,KOR,2020,KRW,4108,3035.17,0,0.02,,0.02,0,66.41,33.59,131.3,0.04,,,,,4108,48.2,51.8,,,14.29,,,,,2.23928547
Hyundai Glovis Co Ltd,27,KOR,2021,KRW,9627,12189.1,0.07,0.01,,0.08,0,99.84,0.16,12018.33,0.99,105.02,0.01,,,9627,13.45,86.55,,3.2,11.11,,,3785900,,8.992860432
Hyundai Heavy Industries Holdings,27,KOR,2021,KRW,13423,6132.96,0.22,0.3,,0.52,0,99.84,0.16,2496.11,0.41,3036.22,0.5,,,13423,4.4,95.6,,,,,,,,4.524768539
Hyundai Mipo Dockyard,27,KOR,2021,KRW,3066,2060.06,0.05,0.1,,0.15,0,100,0,746.11,0.36,1015.28,0.49,,,3066,2.97,97.03,,,,,,,,1.519869317
Hyundai Mobis,53,KOR,2022,KRW,33702,30769.72,0.05,0.3,0.01,0.37,0,95,5,2146.16,0.07,849.26,0.03,1574,0.05,33702,22.3,77.7,,6.1,11.11,,,36807000,,22.7012428
Hyundai Motor Co,53,KOR,2022,KRW,122821,86778.31,0.72,1.66,101.79,104.17,0,98.05,1.95,6169.74,0.07,9275.21,0.11,,,122821,9.04,90.96,,6,9.09,6600,,,6757900,64.02318848
Hyundai Rotem Company,27,KOR,2021,KRW,3174,2054.9,0.01,0.02,,0.03,0,100,0,143.45,0.07,,,184,0.09,3426,2.8,97.2,,4.93,,11700,,1919100,,1.516058756
Hyundai Steel Co,9,KOR,2021,KRW,11554,13298.46,25.97,2.66,,28.62,0,64.41,35.59,29140,2.19,54407,4.09,,,11554,3.59,96.41,,3.2,11.11,,,10010000,7651600,9.811322579
Hyundai Wia Corp,53,KOR,2021,KRW,3041,494.36,0.01,0.16,,0.17,0,5.11,94.89,941.59,1.9,618,1.25,,,3041,2.8,97.2,,2,,1060,,4333700,,0.3647250867
I-MAB Sponsored ADR,95,CHN,2021,CNY,386,12.32,,,,0,,,,0.95,0.08,2.5,0.2,2.8,0.23,386,66.58,33.42,,19,30.77,,,,,1.724805846
"IAA, Inc",27,USA,2021,USD,3974,1837.4,0.02,0.01,0.01,0.04,0,,,106.44,0.06,,,,,3974,52.67,47.33,,2.52,36.36,,,,,1837.4
IAC InterActiveCorp,138,USA,2020,USD,7400,3699.63,0,0.01,0.01,0.02,0,,,,,,,,,7400,43,57,,,16.67,,,,17,3699.63
ICICI Bank Ltd,106,IND,2021,INR,98750,22194.84,0.02,0.12,,0.13,0,70,30,,,,,,,98750,0,0,,,23,2005,,,,271.7706758
ICICI Lombard General Insurance Company Ltd,106,IND,2021,INR,10236,1714.95,,,,,,,,6.05,0,,,,,10236,18.3,81.7,,,18.18,292.6,,,,20.99917089
ICICI Prudential Life Insurance Company Ltd,106,IND,2021,INR,14143,10294.6,,,,,,,,,,,,0,0,14143,26.42,73.58,,,11.11,108.4,,,,126.0550101
ICL Group Ltd,9,ISR,2020,USD,11744,5043,1.94,0.39,0.05,2.37,0,86.56,13.44,8888.89,1.76,50000,9.91,36500,7.24,11744,19,81,,8.8,20,,,,,5043
ICU Medical Inc,95,USA,2021,USD,,1316.3,,,,,,,,,,,,,,,0,0,,,33.33,,,,0.14,1316.3
IDACORP Inc,149,USA,2021,USD,1992,1458.08,4.28,0.01,,4.29,0,50.8,49.2,,,,,,,1992,24.5,75.5,,,36.36,,,,,1458.08
IDEX Corp,27,USA,2020,USD,7075,2351.65,0.01,0.03,,0.04,0,,,70.95,0.03,90.96,0.04,,,7075,27,73,,,33.33,,,,173.25,2351.65
IDEXX Laboratories Inc,95,USA,2021,USD,10350,3200,0.02,0.02,,0.03,0,99.6,0.4,55.23,0.02,89.45,0.03,,,10350,58,41,,14,30,,,,,3200
IDFC First Bank Ltd,106,IND,2021,INR,24169,1583.29,,,,,,,,,,,,,,24169,14.7,85.3,,,10,196.2,,,,19.38708
IDP Education Ltd,53,AUS,2021,USD,5000,528.74,,,,0,0,,,,,,,,,5000,0,0,,,12.5,,,395.11,,528.74
IG Group Holdings,106,GBR,2021,GBP,2094,1013.71,0,0,0.02,0.02,0,,,8.64,0.01,,,,,2094,33,67,,,38,,,,,1204.086152
IGO Ltd,9,AUS,2021,AUD,398,606.43,0.06,0,0.02,0.08,0,89,11,346.77,0.57,2256.1,3.72,,,660,27.14,72.86,,19,37.5,,,256.1,,401.8902409
IHH Healthcare Bhd,95,MYS,2021,MYR,52261,3740.57,,,,,,96.8,3.2,0.02,0,,,,,52261,61.3,38.7,,12.1,23.08,,,,,816.7184985
IHI Corp,27,JPN,2021,JPY,7796,7873.54,0.06,0.17,,0.23,0,98.86,1.14,634.17,0.08,635,0.08,182,0.02,29149,13.21,86.79,,2.9,8.33,,,,,55.70523583
IHS Markit Ltd,138,GBR,2020,USD,16000,4287.8,,,,,,,,,,,,,,16000,0,0,,,38.46,,,,,4287.8
II-VI Inc,124,USA,2021,USD,22961,3105.89,,,,,,83,17,,,,,,,22961,49.77,50.23,,,9.09,,,,,3105.89
IMCD B.V.,27,NLD,2021,EUR,3740,3525.17,0,0.01,0.34,0.35,0,100,0,31.04,0.01,4.3,0,395,0.11,3740,51,49,,15,,,,,,3617.879578
IMI,27,GBR,2021,GBP,10100,2216.52,0.01,0.03,0,0.04,0,100,0,174.08,0.08,,,,,10100,29,71,,,37.5,,,,,2632.792078
ING Groep NV,106,NLD,2021,EUR,57660,18968.84,,,0.02,0.04,0,0,100,409,0.02,193.5,0.01,,,57660,0,0,,,33,,,1793,,19467.7255
"360 DigiTech, Inc.",124,CHN,2021,USD,2129,2610,0,0,,0,0,,,1.91,0,95.32,0.04,0.12,0,2129,42.74,57.26,,26,,,,,,2610
3I Group,27,UK,2022,GBP,236,4768.01,0,0,0,0,0,55.16,44.84,1.97,0,,0,,0,236,41.53,58.47,,12,,,,,,5663.465916
3M Co,9,USA,2021,USD,94700,35400,2.7,0.9,0.97,4.57,0,52.4,47.6,,0,,0,,0,94700,37,63,,0.84,49.93,,,,,35400
A.O. Smith Corp,27,USA,2020,USD,15100,2992.7,0.07,0.09,,0.15,0,,,0.6,0,1.28,0,48.5,0.02,15100,42,58,,7.64,20,,,,,2992.7
A2A SpA,27,ITA,2021,EUR,12370,11851.3,7.3,0.02,,7.32,0,70,30,18.24,0,0.01,0,115303,9.73,12370,18.26,81.74,,8,71.43,,,,,12162.98414
AAK AB,149,SWE,2021,SEK,4013,3330.45,0.24,0.07,,0.31,0,64,36,1717.65,0.52,901.08,0.27,1914,0.57,4013,23,77,,15.9,150,,,,,311.2370005
ABB Ltd,149,CHE,2021,USD,105000,28945,0.19,0.21,125.12,125.52,0,67.61,32.39,1553,0.05,2839,0.1,11000,0.38,107590,27,73,,16,25,,,,,28945
ABN AMRO Group NV,106,NLD,2021,EUR,20000,7795.85,0,0,23.85,23.85,0,70,30,88,0.01,,0,,0,20000,0,0,,,60,,,,,8000.882369
Bureau Veritas SA,27,BEL,2021,EUR,79704,5019.02,0.06,0.08,0.44,0.58,0,96,4,264.38,0.05,1073000,213.79,,0,79704,30,70,,,72.41,,,,,5151.022202
Burlington Stores Inc,53,USA,2020,USD,55959,5800,0.04,0.14,0.09,0.27,0,93.16,6.84,432.8,0.07,785,0.14,180,0.03,55959,75,25,,,42.86,,,,,5800
CAE Inc,27,CAN,2022,USD,13847,3371.3,0.02,0.05,0.02,0.09,0,33.7,66.3,280.89,0.08,,0,,0,13847,22,78,,20.56,33.33,,,,,3371.3
CAP - Cia Aceros del Pacifico,9,CHL,2020,USD,5539,2680,1.36,0.17,0.4,1.94,0,99.97,0.03,7162.34,2.67,62449,23.3,5573.29,2.08,12181,28,72,,,,,,,,2680
CBRE Group Inc.,156,USA,2021,USD,105000,27700,0.05,0.04,89.17,89.25,0,97.88,2.12,275.28,0.01,,0,,0,105000,33.5,66.5,,,42.86,,,,,27700
CCL Industries Inc. Class B NV,53,CAN,2021,USD,25100,5732.8,0.15,0.26,1.05,1.45,0,95,5,1351.27,0.24,1543.91,0.27,4058.71,0.71,25100,37.7,62.3,,,36.36,,,,,5732.8
CCR S.A.,27,BRA,2021,BRL,14843,2254.99,0.06,0.02,0.18,0.26,0,95.23,4.77,134.91,0.06,520,0.23,736.2,0.33,14843,35.9,64.1,,24.5,18.18,,,,,421.3676562
CD PROJEKT RED SA,53,POL,2021,PLN,1196,193.66,0,0,,0,0,4,96,3.15,0.02,3.65,0.02,0.25,0,1196,29,71,,,,,,,,42.24210966
CDW Corp,124,USA,2021,USD,13900,5040,,,,,,,,,0,,0,,0,13900,32,68,,,66.67,,,,,5040
CEZ-Ceske Energeticke Zavody,149,CZE,2021,CZK,28043,9597.73,17.23,0.13,10.2,27.56,0,92.6,7.4,95604.44,9.96,82154,8.56,2994,0.31,28043,20.5,79.5,,,16.67,,,,,404.3095096
CF Industries Holdings,9,USA,2021,USD,2969,4590,15.06,0.62,48.42,64.1,0,64,36,2451.82,0.53,59103,12.88,,0,2969,13.78,86.22,,8.89,33.33,,,,,4590
CGI Inc. Class A SV,124,CAN,2021,CAD,80000,9050.13,0.01,0.02,0,0.04,0,56,44,181.39,0.02,129,0.01,,,80000,33.4,66.6,,,45.45,,,,,6751.262981
CH Robinson Worldwide Inc,27,USA,2021,USD,16877,23100,0,0.05,17.36,17.42,0,76,24,96.94,0,,0,0,0,16877,47.85,52.15,,19.07,42.86,,,,,23100
CIENA Corp,124,USA,2020,USD,6961,3500,0,0.02,0.09,0.11,0,89.58,10.42,84.65,0.02,,0,,0,6961,0,0,,,42.86,1.68,,,,3500
CIMB Group Holdings Bhd,106,MYS,2021,MYR,33265,4010.92,0,0.06,0,0.07,0,,,126.04,0.03,550.71,0.14,,0,33265,57,43,,14.3,42.86,,,,,875.7467876
CIT Group Inc,106,USA,2020,USD,4163,1064.8,0,0.01,0,0.01,0,,,22.17,0.02,,0,,0,4613,0,0,,10.6,42.86,,,,,1064.8
CJ CheilJedang Corp,82,KOR,2021,KRW,8156,19397.19,0,0,,0,0,89,11,18585.83,0.96,146.88,0.01,0,0,8156,27.78,72.22,,14.32,16.67,,,,,14.31083254
CJ ENM Co Ltd,82,KOR,2021,KRW,3366,2621.12,0,0.01,0,0.01,0,,,30.31,0.01,87.66,0.03,,0,3366,58,42,,13.5,16.28,,,,,1.933803439
CJ Korea Express Corp,27,KOR,2021,KRW,6351,8369.85,0.11,0.1,,0.21,0,,,1105.28,0.13,2232.65,0.27,,0,6351,14,86,,5.6,16.67,,,,,6.175096208
CK Asset Holdings Ltd,156,HKG,2021,HKD,54525,7943.23,0.07,0.32,0.06,0.45,0,,,1254.81,0.16,9785.62,1.23,84.9,0.01,54525,51,49,,,26.58,,,,,1016.118113
CK Hutchison Holding Ltd,27,HKG,2021,HKD,196482,56974.55,6.72,2.66,,9.38,0,80,20,34.26,0,38.34,0,30279,0.53,196482,52.9,47.1,,22,38.46,,,,,7288.332743
CK Infrastructure Holdings Ltd,149,HKG,2021,HKD,32713,961.34,6.31,1.4,,7.71,0.01,83.78,16.22,4.71,0,688,0.72,25376,26.4,32713,24.6,75.4,,11.1,30.77,,,,,122.9768998
CLP Holdings Ltd.,149,HKG,2021,HKD,8116,10740.25,43.26,0.21,15.5,58.98,0,,,,0,,0,1524,0.14,8116,26.3,73.7,,16,,,,,,1373.921162
"CMC Materials, Inc",124,USA,2020,USD,,294.97,0.03,0,,0.03,0,100,0,303.53,1.03,1078.93,3.66,3578.1,12.13,,0,0,,,14.29,,,,,294.97
CME Group Inc A,106,USA,2021,USD,3480,4700,0,0.04,0.28,0.32,0,,,38.92,0.01,,0,,0,3480,31,69,,10.4,35.29,,,,,4700
