"id","note","only","parent_id","order","name","description","is_translated","created_at","updated_at","deleted_at","except"
1,,,,5,"{""en"":""Environment"",""pt-PT"":""Ambiente"",""pt-BR"":""Ambiente"",""es"":""Ambiente"",""fr"":""Environnement""}","{""en"":""This category assesses the level of maturity in the environment pillar"",""pt-PT"":""This category assesses the level of maturity in the environment pillar"",""pt-BR"":""This category assesses the level of maturity in the environment pillar"",""es"":""This category assesses the level of maturity in the environment pillar"",""fr"":""This category assesses the level of maturity in the environment pillar""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-06-23T16:58:14.000Z",,
2,,,,2,"{""en"":""Social"",""pt-PT"":""Social"",""pt-BR"":""Social"",""es"":""Social"",""fr"":""Social""}","{""en"":""This category assesses the level of maturity in the social pillar"",""pt-PT"":""This category assesses the level of maturity in the social pillar"",""pt-BR"":""This category assesses the level of maturity in the social pillar"",""es"":""This category assesses the level of maturity in the social pillar"",""fr"":""This category assesses the level of maturity in the social pillar""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
3,,,,3,"{""en"":""Governance"",""pt-PT"":""Governan\u00e7a"",""pt-BR"":""Governan\u00e7a"",""es"":""Gobernancia"",""fr"":""Gouvernance""}","{""en"":""This category assesses the maturity level in the governance pillar, which underpins the environment and social pillars"",""pt-PT"":""This category assesses the maturity level in the governance pillar, which underpins the environment and social pillars"",""pt-BR"":""This category assesses the maturity level in the governance pillar, which underpins the environment and social pillars"",""es"":""This category assesses the maturity level in the governance pillar, which underpins the environment and social pillars"",""fr"":""This category assesses the maturity level in the governance pillar, which underpins the environment and social pillars""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
4,,,1,2,"{""en"":""Water and effluents"",""pt-PT"":""\u00c1gua e Efluentes"",""pt-BR"":""\u00c1gua e Efluentes"",""es"":""Agua y efluentes"",""fr"":""Eau et effluents""}","{""en"":""Analyze water resources management (where applicable), control of water consumption, water treatment and impacts"",""pt-PT"":""Analyze water resources management (where applicable), control of water consumption, water treatment and impacts"",""pt-BR"":""Analyze water resources management (where applicable), control of water consumption, water treatment and impacts"",""es"":""Analyze water resources management (where applicable), control of water consumption, water treatment and impacts"",""fr"":""Analyze water resources management (where applicable), control of water consumption, water treatment and impacts""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-06-23T16:58:36.000Z",,
5,,,1,1,"{""en"":""Biodiversity"",""pt-PT"":""Biodiversidade"",""pt-BR"":""Biodiversidade"",""es"":""Biodiversidad"",""fr"":""Biodiversité""}","{""en"":""Analyze the impacts on biodiversity (direct and indirect) and the implemented measures"",""pt-PT"":""Analyze the impacts on biodiversity (direct and indirect) and the implemented measures"",""pt-BR"":""Analyze the impacts on biodiversity (direct and indirect) and the implemented measures"",""es"":""Analyze the impacts on biodiversity (direct and indirect) and the implemented measures"",""fr"":""Analyze the impacts on biodiversity (direct and indirect) and the implemented measures""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-06-23T16:58:36.000Z",,
6,,,1,3,"{""en"":""Emissions"",""pt-PT"":""Emiss\u00f5es"",""pt-BR"":""Emiss\u00f5es"",""es"":""Emisiones"",""fr"":""\u00c9mission""}","{""en"":""Monitor emissions throughout the value chain and implemented actions to reduce them"",""pt-PT"":""Monitor emissions throughout the value chain and implemented actions to reduce them"",""pt-BR"":""Monitor emissions throughout the value chain and implemented actions to reduce them"",""es"":""Monitor emissions throughout the value chain and implemented actions to reduce them"",""fr"":""Monitor emissions throughout the value chain and implemented actions to reduce them""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-06-23T16:58:36.000Z",,
7,,,1,4,"{""en"":""Energy"",""pt-PT"":""Energia"",""pt-BR"":""Energia"",""es"":""Energ\u00eda"",""fr"":""\u00c9nergie""}","{""en"":""Analyzes energy consumption in the company (renewable energy and non-renewable energy)"",""pt-PT"":""Analyzes energy consumption in the company (renewable energy and non-renewable energy)"",""pt-BR"":""Analyzes energy consumption in the company (renewable energy and non-renewable energy)"",""es"":""Analyzes energy consumption in the company (renewable energy and non-renewable energy)"",""fr"":""Analyzes energy consumption in the company (renewable energy and non-renewable energy)""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-06-23T16:58:36.000Z",,
8,,,1,5,"{""en"":""Materials"",""pt-PT"":""Materiais"",""pt-BR"":""Materiais"",""es"":""Materiales"",""fr"":""Mat\u00e9riaux""}","{""en"":""Analyze the type of raw materials used (when applicable), how the selection and monitoring is made, for example recycled or not, reused, etc."",""pt-PT"":""Analyze the type of raw materials used (when applicable), how the selection and monitoring is made, for example recycled or not, reused, etc."",""pt-BR"":""Analyze the type of raw materials used (when applicable), how the selection and monitoring is made, for example recycled or not, reused, etc."",""es"":""Analyze the type of raw materials used (when applicable), how the selection and monitoring is made, for example recycled or not, reused, etc."",""fr"":""Analyze the type of raw materials used (when applicable), how the selection and monitoring is made, for example recycled or not, reused, etc.""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-06-23T16:58:36.000Z",,
9,,,1,6,"{""en"":""Waste"",""pt-PT"":""Res\u00edduos"",""pt-BR"":""Res\u00edduos"",""es"":""Desperdicio"",""fr"":""Gaspillage""}","{""en"":""Analyze the impact and treatment\/management of waste produced along the value chain"",""pt-PT"":""Analyze the impact and treatment\/management of waste produced along the value chain"",""pt-BR"":""Analyze the impact and treatment\/management of waste produced along the value chain"",""es"":""Analyze the impact and treatment\/management of waste produced along the value chain"",""fr"":""Analyze the impact and treatment\/management of waste produced along the value chain""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-06-23T16:58:36.000Z",,
10,,,2,10,"{""en"":""Clients"",""pt-PT"":""Cliente"",""pt-BR"":""Cliente"",""es"":""Cliente"",""fr"":""Client""}","{""en"":""Analyze the practices and policies regarding customer service, privacy policy and transparency of information on the products\/services available"",""pt-PT"":""Analyze the practices and policies regarding customer service, privacy policy and transparency of information on the products\/services available"",""pt-BR"":""Analyze the practices and policies regarding customer service, privacy policy and transparency of information on the products\/services available"",""es"":""Analyze the practices and policies regarding customer service, privacy policy and transparency of information on the products\/services available"",""fr"":""Analyze the practices and policies regarding customer service, privacy policy and transparency of information on the products\/services available""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-18T22:27:56.000Z",,
