"id","note","only","except","parent_id","sdg_id","category_id","order","impact","name","description","is_translated","created_at","updated_at","deleted_at"
1,,,,,,15,,"0.00","{""en"":""Create a website"",""pt-PT"":""Criar website"",""pt-BR"":""Criar website"",""es"":""Crear un sitio web"",""fr"":""Cr\u00e9er un site web""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:22.000Z","2023-04-05T23:06:59.000Z",
2,,,,,,15,,"0.00","{""en"":""Create a corporate presentation"",""pt-PT"":""Criar apresenta\u00e7\u00e3o institucional"",""pt-BR"":""Criar apresenta\u00e7\u00e3o institucional"",""es"":""Crear una presentaci\u00f3n corporativa"",""fr"":""Cr\u00e9er une pr\u00e9sentation institutionnelle""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
3,,,,,,17,,"0.42","{""en"":""Product \/ service labelling"",""pt-PT"":""Rotular devidamente os produtos \/ servi\u00e7os"",""pt-BR"":""Rotular devidamente os produtos \/ servi\u00e7os"",""es"":""Etiquetado de productos y servicios"",""fr"":""\u00c9tiquetage des produits \/ services""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z",
4,,,,,,15,,"1.15","{""en"":""Make\/Review the organizational chart (gender equality) and include roles and responsibilities"",""pt-PT"":""Fazer \/ Rever o organograma organizacional (igualdade de g\u00e9nero) e incluir fun\u00e7\u00f5es e responsabilidades"",""pt-BR"":""Fazer \/ Rever o organograma organizacional (igualdade de g\u00e9nero) e incluir fun\u00e7\u00f5es e responsabilidades"",""es"":""Haga\/revise el organigrama (igualdad de g\u00e9nero) e incluya las funciones y responsabilidades"",""fr"":""Faire\/r\u00e9viser l'organigramme (\u00e9galit\u00e9 des sexes) et inclure les r\u00f4les et responsabilit\u00e9s""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
5,,,,,,15,,"0.25","{""en"":""Create a welcoming pack"",""pt-PT"":""Criar o welcoming pack"",""pt-BR"":""Criar o welcoming pack"",""es"":""Crear un paquete de bienvenida\/Welcoming Pack"",""fr"":""Cr\u00e9er un pack de bienvenue""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
7,,,,,,16,,"1.10","{""en"":""Create a stakeholder engagement strategy"",""pt-PT"":""Criar uma estrat\u00e9gia de engajamento e ausculta\u00e7\u00e3o dos stakeholders"",""pt-BR"":""Criar uma estrat\u00e9gia de engajamento e ausculta\u00e7\u00e3o dos stakeholders"",""es"":""Crear una estrategia para involucrar y escuchar a las partes interesadas"",""fr"":""Cr\u00e9er une strat\u00e9gie pour engager et \u00e9couter les parties prenantes""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
8,,,,,,16,,"0.28","{""en"":""Analyse the concerns mentioned by stakeholders and adopt measures"",""pt-PT"":""Analisar as preocupa\u00e7\u00f5es mencionadas pelos stakeholders e adotar medidas"",""pt-BR"":""Analisar as preocupa\u00e7\u00f5es mencionadas pelos stakeholders e adotar medidas"",""es"":""Analizar las preocupaciones mencionadas por las partes interesadas y adoptar medidas"",""fr"":""Analyser les pr\u00e9occupations mentionn\u00e9es par les parties prenantes et adopter des mesures""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
9,,,,,,16,,"6.30","{""en"":""Conduct a Study on Economic, Social and Environmental Impacts, risks and opportunities"",""pt-PT"":""Fazer Estudo de Impacto, riscos e oportunidades econ\u00f3micos, sociais e ambientais"",""pt-BR"":""Fazer Estudo de Impacto, riscos e oportunidades econ\u00f3micos, sociais e ambientais"",""es"":""Hacer una evaluaci\u00f3n de impacto, riesgos y oportunidades econ\u00f3micas, sociales y medioambientales"",""fr"":""\u00c9valuation d'impact, risques et opportunit\u00e9s \u00e9conomiques, sociaux et environnementaux""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
10,,,,,,16,,"0.34","{""en"":""Creation of a social and environmental impact strategy and related monitoring indicators"",""pt-PT"":""Cria\u00e7\u00e3o de uma estrat\u00e9gia de impacto social e ambiental e respetivos indicadores de monitoriza\u00e7\u00e3o"",""pt-BR"":""Cria\u00e7\u00e3o de uma estrat\u00e9gia de impacto social e ambiental e respetivos indicadores de monitoriza\u00e7\u00e3o"",""es"":""Creaci\u00f3n de una estrategia de impacto social y medioambiental y de los respectivos indicadores de seguimiento"",""fr"":""Cr\u00e9ation d'une strat\u00e9gie d'impact social et environnemental et d'indicateurs de suivi respectifs""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
11,,,,,,16,,"0.01","{""en"":""Creation of an external (community) whistle-blowing mechanism"",""pt-PT"":""Cria\u00e7\u00e3o de um mecanismo de den\u00fancias externo (comunidade)"",""pt-BR"":""Cria\u00e7\u00e3o de um mecanismo de den\u00fancias externo (comunidade)"",""es"":""Creaci\u00f3n de un mecanismo de reclamaci\u00f3n externo (comunitario)"",""fr"":""Cr\u00e9ation d'un m\u00e9canisme de plaintes externe (communaut\u00e9)""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
12,,,,,,16,,"2.26","{""en"":""Create a due diligence process (involving the highest governance body)"",""pt-PT"":""Criar um processo de devida dilig\u00eancia (envolvendo o mais alto \u00f3rg\u00e3o de governan\u00e7a)"",""pt-BR"":""Criar um processo de devida dilig\u00eancia (envolvendo o mais alto \u00f3rg\u00e3o de governan\u00e7a)"",""es"":""Crear un proceso de diligencia debida (con la participaci\u00f3n del m\u00e1ximo \u00f3rgano de gobernanza)"",""fr"":""Cr\u00e9er un processus de diligence requise (impliquant le plus haut organe de gouvernance)""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
13,,,,,,16,,"0.16","{""en"":""Disclose the results of the impact studies carried out"",""pt-PT"":""Divulgar os resultados dos estudos de impacto efetuados"",""pt-BR"":""Divulgar os resultados dos estudos de impacto efetuados"",""es"":""Divulgar los resultados de los estudios de impacto realizados"",""fr"":""Divulguer les r\u00e9sultats des \u00e9tudes d'impact r\u00e9alis\u00e9es""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
15,,,,,,17,,"4.78","{""en"":""Implement measures to resolve non-conformities"",""pt-PT"":""Implementa\u00e7\u00e3o de medidas de resolu\u00e7\u00e3o de n\u00e3o conformidades"",""pt-BR"":""Implementa\u00e7\u00e3o de medidas de resolu\u00e7\u00e3o de n\u00e3o conformidades"",""es"":""Aplicar medidas para resolver las no conformidades"",""fr"":""Mettre en \u0153uvre des mesures pour r\u00e9soudre les non-conformit\u00e9s""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
16,,,,,,15,,"1.99","{""en"":""Create a policy and a whistle-blowing channel (treatment, management and monitoring of complaints)"",""pt-PT"":""Criar pol\u00edtica e canal de den\u00fancias (tratamento, gest\u00e3o e monitoriza\u00e7\u00e3o de den\u00fancias)"",""pt-BR"":""Criar pol\u00edtica e canal de den\u00fancias interno (tratamento, gest\u00e3o e monitoriza\u00e7\u00e3o de den\u00fancias)"",""es"":""Crear una pol\u00edtica y un canal para las quejas (tratamiento, gesti\u00f3n y seguimiento de las quejas)"",""fr"":""Cr\u00e9er une politique et un canal pour les plaintes (traitement, gestion et suivi des plaintes)""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
17,,,,,,15,,"0.40","{""en"":""Define roles and responsibilities of the highest governance body and nomination process"",""pt-PT"":""Definir roles e responsibilities do mais alto \u00f3rg\u00e3o de governan\u00e7a e processo de nomea\u00e7\u00e3o"",""pt-BR"":""Definir roles e responsibilities do mais alto \u00f3rg\u00e3o de governan\u00e7a e processo de nomea\u00e7\u00e3o"",""es"":""Definir las funciones y responsabilidades del m\u00e1ximo \u00f3rgano de gobernanza y el proceso de nombramiento"",""fr"":""D\u00e9finir les r\u00f4les et responsabilit\u00e9s de l'organe de gouvernance le plus \u00e9lev\u00e9 et le processus de nomination""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
18,,,,,,15,,"0.15","{""en"":""Define evaluation criteria of the highest governance body and its actions and remuneration policy"",""pt-PT"":""Definir crit\u00e9rios de avalia\u00e7\u00e3o do mais alto \u00f3rg\u00e3o de governan\u00e7a e respetivas a\u00e7\u00f5es e pol\u00edtica de remunera\u00e7\u00e3o"",""pt-BR"":""Definir crit\u00e9rios de avalia\u00e7\u00e3o do mais alto \u00f3rg\u00e3o de governan\u00e7a e respetivas a\u00e7\u00f5es e pol\u00edtica de remunera\u00e7\u00e3o"",""es"":""Definir los criterios de evaluaci\u00f3n del m\u00e1ximo \u00f3rgano de gobernanza y las acciones respectivas y la pol\u00edtica de remuneraci\u00f3n"",""fr"":""D\u00e9finir les crit\u00e8res d'\u00e9valuation du plus haut organe de gouvernance et les actions respectives et la politique de r\u00e9mun\u00e9ration""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z",
19,,,,,,15,,"0.38","{""en"":""Create\/review code of conduct and ethics"",""pt-PT"":""Criar \/ Rever c\u00f3digo de conduta e de \u00e9tica"",""pt-BR"":""Criar \/ Rever c\u00f3digo de conduta e de \u00e9tica"",""es"":""Crear\/revisar el c\u00f3digo de conducta y \u00e9tica"",""fr"":""Cr\u00e9er\/r\u00e9viser le code de conduite et d'\u00e9thique""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
20,,,,,,15,,"0.87","{""en"":""Develop a training program on the topics included in the Code of Ethics and Conduct"",""pt-PT"":""Desenvolver programa de forma\u00e7\u00e3o sobre os t\u00f3picos inclu\u00eddos no C\u00f3digo de \u00c9tica e Conduta"",""pt-BR"":""Desenvolver programa de forma\u00e7\u00e3o sobre os t\u00f3picos inclu\u00eddos no C\u00f3digo de \u00c9tica e Conduta"",""es"":""Desarrollar un programa de formaci\u00f3n sobre los temas incluidos en el C\u00f3digo de \u00c9tica y Conducta"",""fr"":""\u00c9laborer un programme de formation sur les sujets inclus dans le Code d'\u00e9thique et de conduite""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2022-09-16T15:25:16.000Z",
21,,,,,,15,,"0.12","{""en"":""Make the code of ethics and conduct available to all stakeholders"",""pt-PT"":""Disponibilizar o c\u00f3digo de \u00e9tica e conduta a todos os stakeholders"",""pt-BR"":""Disponibilizar o c\u00f3digo de \u00e9tica e conduta a todos os stakeholders"",""es"":""Poner el c\u00f3digo de \u00e9tica y conducta a disposici\u00f3n de todas las partes interesadas"",""fr"":""Mettre le code d'\u00e9thique et de conduite \u00e0 la disposition de toutes les parties prenantes""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z",
23,,,,,,14,,"3.50","{""en"":""Carrying out a risk assessment focused on corruption\/reputational risk and respective prevention plan"",""pt-PT"":""Realizar uma avalia\u00e7\u00e3o de riscos com foco na corrup\u00e7\u00e3o\/risco reputacional e respetivo plano de preven\u00e7\u00e3o"",""pt-BR"":""Realizar uma avalia\u00e7\u00e3o de riscos com foco na corrup\u00e7\u00e3o\/risco reputacional"",""es"":""Realizaci\u00f3n de una evaluaci\u00f3n de riesgos centrada en el riesgo de corrupci\u00f3n \/ reputaci\u00f3n y el respectivo plan de prevenci\u00f3n"",""fr"":""R\u00e9alisation d'une \u00e9valuation des risques ax\u00e9e sur le risque de corruption\/r\u00e9putation et plan de pr\u00e9vention correspondant.""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
24,,,,,,17,,"2.63","{""en"":""Define and disclose a remuneration policy"",""pt-PT"":""Definir e divulgar a pol\u00edtica de remunera\u00e7\u00e3o"",""pt-BR"":""Definir e divulgar a pol\u00edtica de remunera\u00e7\u00e3o"",""es"":""Definir y divulgar la pol\u00edtica de remuneraci\u00f3n"",""fr"":""D\u00e9finir et divulguer la politique de r\u00e9mun\u00e9ration""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
27,,,,,,11,,"0.90","{""en"":""Monitor HR indicators (including subcontractors)"",""pt-PT"":""Monitorizar indicadores de RH (incluindo subcontratados)"",""pt-BR"":""Monitorizar indicadores de RH (incluindo subcontratados)"",""es"":""Supervisar los indicadores de RRHH (incluidos los subcontratistas)"",""fr"":""Suivre les indicateurs RH (y compris les sous-traitants)""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
28,,,,,,11,,"1.57","{""en"":""Create a DEI+B policy and strategy"",""pt-PT"":""Criar uma pol\u00edtica e estrat\u00e9gia de DEI+B"",""pt-BR"":""Criar uma pol\u00edtica e estrat\u00e9gia de DEI+B"",""es"":""Crear una pol\u00edtica y una estrategia de DEI+B"",""fr"":""Cr\u00e9er une politique et une strat\u00e9gie DEI+B""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
29,,,,,,11,,"1.35","{""en"":""Create\/review a career and performance evaluation plan"",""pt-PT"":""Criar\/ Rever plano de carreira e avalia\u00e7\u00e3o de desempenho"",""pt-BR"":""Criar\/ Rever plano de carreira e avalia\u00e7\u00e3o de desempenho"",""es"":""Crear\/revisar el plan de carrera y la evaluaci\u00f3n del desempe\u00f1o"",""fr"":""Cr\u00e9er\/r\u00e9viser le plan de carri\u00e8re et l'\u00e9valuation des performances""}","{""en"":null,""pt-PT"":null,""pt-BR"":null,""es"":null,""fr"":null}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","2022-05-23T04:51:23.000Z","2023-04-05T23:06:59.000Z",
