"id","note","only","except","question_id","question_option_type","question_option_id","initiative_id","sdg_id","order","indicator_id","weight","children_action","comment_required","attachment_required","allow_submit","created_at","updated_at","deleted_at"
1,,,,1,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"0.00","enable",1,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
2,,,,1,"App\Models\Tenant\QuestionOptions\Simple",3,1,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
3,,,,2,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"0.00",,1,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
4,,,,2,"App\Models\Tenant\QuestionOptions\Simple",3,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
5,,,,3,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"0.00",,0,1,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
6,,,,3,"App\Models\Tenant\QuestionOptions\Simple",3,2,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z","2022-09-16T15:35:43.000Z"
7,,,,5,"App\Models\Tenant\QuestionOptions\Matrix",1,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
8,,,,6,"App\Models\Tenant\QuestionOptions\Simple",4,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
9,,,,6,"App\Models\Tenant\QuestionOptions\Simple",5,,,3,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
10,,,,6,"App\Models\Tenant\QuestionOptions\Simple",6,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
