ID,X,,,,,Y,,,,
,en,pt-PT,pt-BR,es,fr,en,pt-PT,pt-BR,es,fr
1,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},"Total Remuneration for Employees,Taxes retained at source and paid on behalf of employees,Taxes collected from customers on behalf of a tax Authority,Sector tributes and other taxes or payments to governments,Significant uncertain tax positions,Intra-company debt balance retained by entities within tax jurisdiction","Total de remunerações para empregados,Impostos retidos na fonte e pagos em nome dos colaboradores,Tributos arrecados de clientes em nome de uma autoridade fiscal,Tributos setoriais e outros tributos ou pagamentos a governos,Posições tributárias incertas significativas,Saldo da dívida intra-empresa retida por entidades dentro da jurisdição fiscal","Total de remunerações para empregados,Impostos retidos na fonte e pagos em nome dos colaboradores,Tributos arrecados de clientes em nome de uma autoridade fiscal,Tributos setoriais e outros tributos ou pagamentos a governos,Posições tributárias incertas significativas,Saldo da dívida intra-empresa retida por entidades dentro da jurisdição fiscal","Remuneración total para los empleados,Impuestos retenidos en la fuente y pagados en nombre de los empleados,Impuestos recopilados de clientes en nombre de una Autoridad fiscal,Tributos del sector y otros impuestos o pagos a los gobiernos,Posiciones fiscales inciertas significativas,Saldo de la deuda intra-empresa retenido por entidades dentro de la jurisdicción fiscal","Rémunération totale pour les employés,Taxes retenues à la source et payées au nom des employés,Taxes collectées auprès des clients pour le compte d'une autorité fiscale,Tributes du secteur et Autres taxes ou paiements aux gouvernements,Positions fiscales incertaines significatives,Solde de la dette intra-entreprises conservée par des entités dans la juridiction fiscale"
2,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},"Female,Male,Other","Feminino,Masculino,Outro","Feminino,Masculino,Outro","Femenino,Masculino,Otro","Féminin,Masculin,Autre"
3,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},"<30 Years,between 30 and 50 Years,> 50 Years","<30 anos,entre 30 e 50 anos,>50 anos","<30 anos,entre 30 e 50 anos,>50 anos","<30 años,Entre 30 y 50 años,> 50 años","<30 ans,Entre 30 et 50 ans,> 50 ans"
4,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},"Permanent,Temporary,Subcontractors,Full-time,Part time","Permanentes,Temporários,Subcontratados,fornecidos,Tempo integral,Tempo parcial","Permanentes,Temporários,Subcontratados,fornecidos,Tempo integral,Tempo parcial","Permanente,Temporal,Subcontratistas / suministrados,Tiempo completo,Medio tiempo","Permanent,Temporaire,Sous-traitants / fournis,À temps plein,À temps partiel"
5,"Female,Male,Other","Feminino,Masculino,Outro","Feminino,Masculino,Outro","Femenino,Masculino,Otro","Féminin,Masculin,Autre","Permanent,Temporary","Permanentes,Temporários","Permanentes,Temporários","Permanente,Temporal","Permanent,Temporaire"
6,"Management,Middle Management,Other","Direção,Gestão Intermédia,Operações","Direção,Gestão Intermédia,Outro","Gerencia,Mandos Medios,Otros","Management,Management intermédiaire,Autre","Female,Male,Other","Feminino,Masculino,Outro","Feminino,Masculino,Outro","Femenino,Masculino,Otro","Féminin,Masculin,Autre"
7,,,,,,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES}
8,,"Água Doce, Outros tipos de água, Total",,,,,"Água de superfície, Água subterrânea, Água do mar, Água produzida, Água de terceiros",,,
9,,,,,,,,,,
10,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},,Salário Mínimo Local,Salário Mínimo Local,,
11,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},,,Nº de colaboradores,,,
12,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},"<30 Years,between 30 and 50 Years,> 50 Years","<30 anos,entre 30 e 50 anos,>50 anos","<30 anos,entre 30 e 50 anos,>50 anos","<30 años,Entre 30 y 50 años,> 50 años","<30 ans,Entre 30 et 50 ans,> 50 ans"
13,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},"Permanent,Temporary,Subcontractors,Full-time,Part time","Permanentes,Temporários,Subcontratados,fornecidos,Tempo integral,Tempo parcial","Permanentes,Temporários,Subcontratados,fornecidos,Tempo integral,Tempo parcial","Permanente,Temporal,Subcontratistas / suministrados,Tiempo completo,Medio tiempo","Permanent,Temporaire,Sous-traitants / fournis,À temps plein,À temps partiel"
14,"Female,Male,Other","Feminino,Masculino,Outro","Feminino,Masculino,Outro","Femenino,Masculino,Otro","Féminin,Masculin,Autre","Full-time,Part time","Tempo Integral,Tempo Parcial","Tempo integral,Tempo parcial","Tiempo completo,Medio tiempo","À temps plein,À temps partiel"
15,{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},{COUNTRIES},"Management,Middle Management,Other","Direção,Gestão Intermédia,Operações","Direção,Gestão Intermédia,Outro","Gerencia,Mandos Medios,Otros","Management,Management intermédiaire,Autre"
