"id","label","is_translated","value","created_at","updated_at"
1,"{""fr"":""""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
2,"{""en"":""Yes"",""pt-PT"":""Sim"",""pt-BR"":""Sim"",""es"":""S\u00ed"",""fr"":""Oui""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","yes","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
3,"{""en"":""No"",""pt-PT"":""N\u00e3o"",""pt-BR"":""N\u00e3o"",""es"":""No"",""fr"":""Non""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","no","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
4,"{""en"":""Human resources (HR)"",""pt-PT"":""Recursos humanos"",""pt-BR"":""Recursos humanos"",""es"":""Recursos humanos (RH)"",""fr"":""Ressources humaines (RH)""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","human-resources-hr","2022-05-23T04:51:23.000Z","2023-06-15T20:55:00.000Z"
5,"{""en"":""External Supplies and Services (ESS's)"",""pt-PT"":""Fornecimentos e Servi\u00e7os Externos (FSE's)"",""pt-BR"":""Fornecimentos e Servi\u00e7os Externos (FSE's)"",""es"":""Suministros y servicios externos (FSE's)"",""fr"":""Fournitures et services externes (FSE's)""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","external-supplies-and-services-esss","2022-05-23T04:51:23.000Z","2022-08-09T07:13:16.000Z"
6,"{""en"":""Raw Materials sold and consumed"",""pt-PT"":""Mat\u00e9ria Prima vendida e consumida"",""pt-BR"":""Mat\u00e9ria Prima vendida e consumida"",""es"":""Materias primas vendidas y consumidas"",""fr"":""Mati\u00e8res premi\u00e8res vendues et consomm\u00e9es""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","raw-materials-sold-and-consumed","2022-05-23T04:51:23.000Z","2022-08-09T07:13:16.000Z"
7,"{""en"":""Services"",""pt-PT"":""Servi\u00e7os"",""pt-BR"":""Servi\u00e7os"",""es"":""servicios"",""fr"":""prestations de service""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","services","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
8,"{""en"":""Other"",""pt-PT"":""Outro"",""pt-BR"":""Outro"",""es"":""Otro"",""fr"":""Autre""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","other","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
9,"{""en"":""Operational costs"",""pt-PT"":""Custos operacionais"",""pt-BR"":""Custos operacionais"",""es"":""Costos operativos"",""fr"":""Co\u00fbts op\u00e9rationnels""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","operational-costs","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
10,"{""en"":""Salaries and Benefits of Employees"",""pt-PT"":""Sal\u00e1rios e benef\u00edcios de colaboradores"",""pt-BR"":""Sal\u00e1rios e benef\u00edcios de colaboradores"",""es"":""Salarios y beneficios de los empleados."",""fr"":""Salaires et avantages des employ\u00e9s""}","{""en"":true,""pt-PT"":true,""pt-BR"":true,""es"":true,""fr"":true}","salaries-and-benefits-of-employees","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
